sentiments,cleaned_review
neutral,ordered for my son they didn last but week or so one side stopped working after about week 
negative,one hell of speaker
positive,excellent sound noise cancellation my year old loves them 
negative,this is good looking keyboard it is wireless with short usb charging cable it can barely reach from my desktop to the usb port in the front of my computer also wfh like many of us right now tax accountant and have to have accuracy in everything type this keyboard has lag doesn matter whether its on or off the charger type wpm and it cannot keep up due to the lag it also misses many digits from the key keypad due to this lag had an unnoticed typo in zip code for an irs form my new boss was not happy missed this which of course shouldn have except for the lag and almost lost my new job when the keyboard is not being charged it will start to freeze and lag and generally miss numbers and letters then realize need to put it on the charger so plug it in and its working ok then next thing know an hour or so later it starts doing the same thing again so need to take it off the charger then another hour or so it does it again now need to put it on the charger terrible ve never had such problem with charger before ever wanted to return the product as it was not cheap but looks like have no option for return purchased on and with the hullabaloo of starting new job hadn realized was slipping out of the exchange and return window don waste your 
neutral,lasted little over month and the scroll wheel stopped working 
neutral,wish it was bigger using it out by the horseshoe pit and in my room at night it sounds great but it not enough sound to rock the block battery life is shorter then what they say but probably lasts long enough to get thru whatever your doing 
positive,the quality seems little cheap because it plactic but the quality and all the features are on point they are really comfortable and make it fun to play with
positive,the main we reason we bought the jbl to begin with was because it has the jack that you could use for an ipod know old school my husband had spent years downloading all of his favorite songs on his ipod and wanted to be able to listen to his playlist through quality speaker once we received the speaker we were super impressed with the sound quality the bluetooth range is good too we liked the quality so much that we have three of them we keep one at home for pool parties and get togethers and we have two at our cabin 
neutral,quality sound lighting and comfy to use
neutral,stopped working after months
neutral,mic threshold is awful
neutral,good
positive,jbl is great
neutral,i purchased this mouse and received it on september th charged it and started to use it it worked fine up until today now the left clicker does not work which is the side used for everything it has been less than two months and am unable to use the mouse for work waste of money
neutral,it came on time looks nice and is very light weight
negative,worst wireless mouse have ever purchased the lag time to respond to movement is horrble clicking is even worse sometimes have to click three or four times before the mouse works tried on multiple systems just to be sure it was not an issue with one laptop do not purchase complete waste of money and time 
positive,it was very good got it for my nephew for his birthday and he loves it 
positive,this headset has very good sound quality fits nicely on head and comfortable the mic pickup isn too sensitive and of course it looks cool how it lights up 
positive,i bought it for work it so smooth color is matte black led lights are so cool and fun doesn make any clicking sound is rechargeable very happy with this purchase 
positive,really like the quietness of the clicks flatter than most mice took little bit of getting used to but fine now will be easy to travel with very responsive charges by usb and lasts for several days no need to have extra batteries led lights are fun but hard to see in bright light looking at the screen when using the mouse who doesn so don really see the lights that much 
positive,i was used to buying name brand mouses and was worried about the size of this device but actually its good size just with lower profile works very well and sleeps and wakes up when you push the button on top the lighting is nice not real bright but just strip around the outside and the button lights up changes color which is nice touch so actually like it better than the other larger mouses have 
positive,this mouse is prettt okay it works fine and lights up pretty which is bonus not fan of the feeling of clicking though wish bought different mouse for that reason but will hold onto it for now 
negative,i am very disappointed in this mouse while using it the mouse will constantly stop working and will have to turn it off and on just to get it to work again this happens at least times day as well the battery life is not long at all if do not charge it every night it will not work in the morning avoid 
neutral,has worked well for over year now bought light still glows no issues with the function don game or anything so it had light use it has surprising amount of battery 
positive,very smooth and easy to use just good all around product 
positive,got this for my kid to play games with been over months and it is still working great can beat it for the price 
positive,super speaker sound is great easy blue tooth setup great value
positive,great sound
neutral,wish you could have the option to not have the led color lights on all of the time or way to just pick one and not have the constant circulation looks bad during the day
neutral,very good 
positive,good headset works as expected confortable support wish the usb part was longer so it could go into my ps other then that works great
positive,this wireless mouse is good size with great compatibility with my mac it great price and color matches my cover highly recommend for those that just need an everyday mouse 
negative,we bought this as replacement for our son for school work he had the old version and it worked really well but he dropped it one to many times and broke lasted yr this one couple weeks into school work the cursor started to drift for no reason my son is in the th grade no drops tried several differ backgrounds nothing worked so my husband tried out the mouse still does not work not upgraded waisted our money and frustrated the whole house withe the uncontrollable drift 
positive,great for gaming good sound only negative sometimes wont come off mute without unplugging 
negative,i just received this product today and even though there were numerous good reviews unfortunately cannot leave positive one due to the fact that this is useless due to non functional otg plug 
positive,great item overall but wish it uses usb to charge then micro usb 
positive,bought thus for my daughter with new gaming computer she loves it and the colors match her headphones
neutral,the mouse feels great in your hand is delightfully colorful but doesn scroll down the page was only able to click down which is bothersome on web pages would return it but threw out the box if you don get defective one its good buy for the price 
neutral,noise cancelation is what my grandson liked
neutral,the mouse worked great and then one afternoon as was working the middle center stopped working couldn use it to scroll up and down anymore not even two months old and it not working 
positive,they work as they should my son says the are good so that means they are great for gamers in teenage talk 
positive,slick beautiful mouse for all apps love that led display on the mouse
positive,this headset is incredible for being mic quality is clear readings with minimal background noise sound quality being an clear audio levels though played apex legends and at times couldn hear audio with setup very simple and easy though it does have additional jacks for optimal audio 
positive,i was looking for simple inexpensive wireless mouse to use on server that only have to access occasionally this fit the bill perfectly drivers installed automatically from windows and off to the races great price for simple solution 
neutral,did not work and can return now don buy 
positive,it been few months and still works well very nice purchase thank you 
neutral,bought this one thinking it was the bigger one before the boombox turned out to be the next one after the flip had flip before this charge sounds just like it it basically flip with extra battery life if your looking for bigger sound go with the extreme or boombox 
neutral,overall this keyboard is good connects fine lighting is pretty cool keys are comfortable very very light and doesn take up too much space on the desk however it doesn remain charged at all even after left plugged in overnight the keyboard dies after being unplugged it still works okay but the battery life is extremely disappointing 
positive,my old headset was going out so had to buy new one saw this in the amazon choice on sale for over half off and the reviews were good so bought it came in day sooner than expected they have great sound came in at full volume and had to lower the volume since it was so loud don use the mic because have standalone mic so can say how that works my only complaint is the ear cushions aren as comfortable as hoped they re kind of stiff 
negative,i got this head set and the mic doesn work it barely comes to your mouth the sound isn too loud and the headset feels so cheap like cheap plastic can stress this enough do not get this headset worst product have ever bought on amazon 
positive,it moves well and like that can turn it off if not using it 
positive,lights are visible through white part because white part is thin but it nice
neutral,easy for my year old to set up and use after weeks the wheel broke 
neutral,i really liked everything about this product 
positive,this is perfect replacement for the stock keyboard that came with my new imac 
neutral,i bought this for my yo son he uses for gaming on the ps or ipad and for watching videos durable and high quality product 
positive,my husband bought this for me for christmas love it listen to lot of podcasts and the sound is so good also use it in my massage room and many of my clients have remarked at how good the music sounds 
positive,excellent
neutral,didn even work properly when we opened it 
positive,sound quality is amazing use it for work loud enough where can hear over the loud equipment and last all day highly recommend this device
neutral,it good mouse 
positive,so easy to set up and works great have had no issues so far it is perfect also because it comes with mac compatible connection port it has made my work sooo much easier it is smooth and easy to use love my new mouse 
neutral,very good come back if need to
neutral,i am just past the return window and of course this doesn work anymore have barely used and haven had that long
positive,functional and affordable they fit my son head nicely braided cable with volume and mute switch haven tested lights because he just needed something for school he says they re comfy and awesome 
positive,love this thing sounds great good bass for small unit very satisfied 
positive,works great only cons what that had handle or space for hands to go when carrying wish they had more bass and bluetooth connection to connected speakers goes in and out with that being said stars
positive,this product is cheap and does not last long after only one day of use plug it into the outlet and it does not turn on needed gaming mouse and this one is definitely not it extremely upset
positive,gaming for fun
positive,set up couldn be easier put the white usb thing into my computer and the mouse magically worked that all it took got the gold rose and it very pretty 
positive,super sad because was obsessed with this mouse but it has already stopped working after one month super frustrating should had just gone to best buy originally 
positive,great keyboard lights up and works fine 
negative,charge didn last all day and then delay kept getting longer simply don have time to hook it to cord and there no battery charge option 
positive,sound quality is amazing and definitely is good for talking trash on online games haha
negative,one ear doesn even work waste of money was excited because my previous headphones broke but was extremely disappointed when the audio to the one side didn even work plus they re extremely uncomfortable if you wear glasses 
neutral,i got white one and the leds shine thru the plastic the pointer tracking laser noticeably strobes will get something better made
positive,it pretty good and got on sale for good deal battery life is true hour use wish was little more bass but other than that happy with purchase pretty loud bought two love the fact that they can connect together 
positive,my son loves his new headphones
neutral,discounted fornthe urine complexion but this speaks gets it
positive,this was great mouse for it price loved the colorful lights too overall satisfied with this purchase 
positive,my husband has been wanting speaker like this for while this was deal of day so jumped on it he is so happy with this speaker thanks for great deal and extremely fast shipping 
positive,i got this for my boyfriend for christmas and he seems to love it 
neutral,the keyboard initially works well and after few minutes when you type one the text does not appear and write several things and do not mark the text it is fault that affects my work regarding the colors it has two lighting modes the first is so that it never turns off and without colors on the keyboard and the second is so that it turns on and off thought the lighting was color by color will write the provider to help me with the key problem and that will depend on my qualification
neutral,this was great buy but reason gave it stars is it doesn have very long range to operate in you can only go about feet before you lose connection 
positive,sound quality excellent easy to connect check the box carefully or you will miss the compartment that holdsthe charger like did have only had to charge it once after more than months no hunt for the right adapters
neutral,it is nice
positive,my son absolutely loves them and uses it with his ps no complaints with the audio and he seems to like the fit 
positive,i really like the slim size it fits into ravel bag nicely love that it can be turned off for travel and not have to remove the battery the colorful lights are nice touch 
positive,great quality and non expensive 
positive,i ve loved this mouse since bought the first one will continue to use it
positive,update had it charging for less than minute and the whole house smelled like burning plastic in that time the cord got super hot and the part where it plugged into the mouse was super hot as well probably would have caught fire if left unattended update using different cords was just fine do not use the cord that comes with it update battery won hold charge was really wanting this mouse to work but looks like returning it after all 
positive,worked really well and enjoyed them for good two months until they just up and stopped working out of nowhere 
neutral,can go wrong with this
positive,works great
neutral,my kids like it
positive,i had solid green back lit keyboard that stopped working wanted another solid color but could not find one so bought this one that has multi color back light have to say like it better also the keys feel much more substantial and it has an on off switch that like as well works from decent distance also recommend 
positive,great
positive,bought them for hubby for gaming on the ps he loves them 
neutral,i really like this mouse for work use mine all day charge it on wednesday mid week and leave it charging friday over the weekend works completely fine coming back and buying two more had to come buy more because dropped mine and it cracked open that the only reason why not because it stopped working but because broke mine so this time in also getting backup my work laptop is mac and rather much buy this mouse than the expensive apple one 
positive,this mouse is very quiet just as advertised was shocked at the lack of clicking when you push the right or left side that was my main push to purchase besides the cool colors and led lights must say those are just an aestetic bonus but it kind of makes working fun this mouse is plastic so the gold tone you see is gold plastic and the underbelly is white plastic it charges fast and it responds just as quickly as my older battery powered wireless mouse overall this mouse is really great am glad bought it and if you are sitting on the fence just go ahead and get it 
neutral,these headphones are very lightweight and sound quality was pretty decent for the price range would buy again 
positive,works well and the splitter is very helpful
neutral,was looking for speaker to blast out the neighbors who sit too close at the beach think found it in the jbl charge stay tuned 
positive,mouse is nice thought there was an option to not have it light up since don need that function but the options are off one color and alternating many colors it only lights up while you are moving it and the light is off when its still glides good clicks well my only really issue with it is the scroller wheel can be little unreliable if want to scroll down just line or two it won move and then if scroll just little faster it zooms down the page overall decent
positive,it is super comfy and love the lights around it small enough for my hands highly recommend this mouse 
neutral,i like everything about it
neutral,pretty but dies quick even with new batteries we returned it
positive,the sound was awesome 
neutral,or should say worked well it stopped working after like weeks 
positive,used for my grandson ps but audio doesn work his friends can hear him
positive,i liked the sleep mode price is reasonable also liked the shape 
neutral,haven had it year and have barely used it and it already stopped working right the mouse just goes all over the place on the screen and not where you try to put it 
neutral,keyboard works okay except the key continues to get stuck as soon as started using it and needs to be picked at to lift it back into place and messes up my work lot the space bar is much louder than the rest of the keys which is more of an annoyance than anything 
positive,very nice keyboard love how it lights up 
neutral,received as gift and wanted to love it but the hot keys issue is real the ctrl and shift keys on the left side cannot be used together as programmer can live without hot keys like this select text to end or beginning of documents uppercase or lowercase words etc many editors use these hot keys 
neutral,the second we plug the mic into the xbox controller the controller turns off when we take it out the controller turns back on tried it with all of our controllers bogus do not buy 
positive,bought as gift for my grandson to take to college he loves it 
positive,my son loves these we had purchased another pair and he said they were very uncomfortable he requested these and is very happy
positive,i loved the mouse and it worked great for the first couple of weeks and then the scroll wheel is no longer working 
positive,loved it love the colors 
positive,we needed wireless keyboard quickly and this keyboard from klim could not be better find the colors are fun and the keyboard has full keys that are quiet and responsive it takes up less space than our old model and so far it has been working really well make sure you take look at the booklet that comes with the keyboard it fun read about the company and the people who founded it 
neutral,when received this product the first time it had come broken the entire click pad was nearly separated from the base and couldn easily be snapped back into place sent in for replacement and everything was all fine they sent replacement no problems this was in april flash forward to december mere eight months the mechanism that holds the scroll wheel somehow snapped apart and the scroll wheel is now useless which makes playing games bit difficult as many games use the scroll wheel when to contact customer service all contact is closed use caution when ordering this mouse at first the replacement had been sent was good despite it not exactly having any sort of indicator as to when the mouse needed to be charged but if the scroll wheel mechanisms are gonna snap easily under potentially hard gaming sessions perhaps pass for something more heavy duty 
neutral,the aux cable broke off inside the controller had to pick it out piece by piece normal use this should have remained intact with basic gaming 
positive,i researched amazon for wireless mouse and found this one bought it to use with new laptop it works great it is responsive easy to use and saves me time tinkering with the laptops built in mouse another plus is no more batteries to buy happy to have this 
positive,bought this for my teenage son to use for his ps gaming he has used sony gold headsets and turtle beach higher end sets and says these are an very good for the price they seem to be an excellent value this is being rated stars not that they are as good or better than the others mentioned but for the value vs quality of sound hopefully they will last decent while to truly earn the star rating gave it stars but if they don last for at least months that will be revised 
positive,looks like great quality gaming headphones and will be an awesome addition to my pc set up 
positive,really nice mouse smooth responsive the clicks are pretty noiseless this is my first wireless rgb mouse get so far not disappointed you can also use it while connected to the charging cable 
neutral,the mouse only worked if it was plugged in not at all wireless like it says
positive,solid wireless keyboard and the best bang for your buck very mobile and responsive crispy boy spill proof 
positive,fantastic sound and perfectly sized to be conveniant and the play time goes on longer than what is advertized ive got the jbl charge as well and in party mode they are incredible jbl you guys are killen it with the bluetooth portable speakers what can say except jbl rocks thanks to you and amazon above and beyond all expectations 
positive,i ve had this unit for several years the sound is fine as some have described the sound is definitely on the warm end of the spectrum and the highs are bit lacking but the performance is better than expected at this price point anyway no one should expect super high fidelity from low cost portable speaker we use ours to stream music when we are by the pool or in the hot tub and to listen to audiobooks around the house it is great for these applications the battery lasts long time we often go week or more without needing charge the usb connection is handy now that more and more devices are using this standard the bluetooth connectivity is outstanding it connects seamlessly and reliably and seems to have quite good range far less finicky and fussy than other bluetooth devices we use the unit is durable although advertised as water resistant and absolutely not spec for this my unit fell into the hot tub and floated there for two days was wondering where it went looked all over the house my spouse suggested checking the hot tub sure enough there it was expected it to be dead nope it fine do not recommend immersing the unit in water am sure we got lucky nevertheless we were impressed 
neutral,it doesn work
positive,i love the sleek design of this mouse my favorite aspect though is the quiet clicking the noise is muted and that is an unexpected bonus 
positive,the main thing for me is that it is really pretty maybe that just girl reason to like it but am girl and an artist and maybe wee bit eccentric want stuff around me to add to my environment especially now other than that well its mouse it does all the same things other computer mice do and it does it well and its pretty 
positive,so far so good looks cool and feels good would buy again
neutral,this product is garbage didn even get charging cord oh and by the way the mouse come out the box broken not working returning and running to better name brand 
positive,love the sound it clear and crisp would recommend it 
neutral,left button not working after months for not worth it save you money and look for better one the last 
neutral,bought for my son to use with his xbox one only to find out it requires adaptor to even work for the buy wireless version and end up with better product 
neutral,for gaming
neutral,iove the sleep mode that turns off the keyboard while it not being used would still recommend turning it off when not in use 
positive,one of the best wireless keyboards ve had so far 
negative,i bought this two weeks ago and it already does not work it is cheaply made and am very disappointed 
neutral,doesn hold charge for very long
positive,this product is amazing for consoles such as ps or xbox use the microphone for my ps and my friends love it they are trying to get their own pair for themselves right now really like the mic quality and the noise suspension there is barely any background noise recommend getting pair for yourself
neutral,ergonomic
neutral,it cool guess
positive,great quality speaker my hubby loves the camo color one little pricey but got it when it went on sale 
positive,great birthday gift for my granddaughter
negative,i bought it for gaming and everyday use it stopped working really fast it lags behind which was driving me crazy then it just died after month don waste your money
neutral,second one same issue the mouse wheel just stops working do not order this product learn from my mistakes 
neutral,disliked
neutral,this mouse feels very smooth and lightweight easy to use and one charge seems to last forever
neutral,very good product 
positive,i was impressed with the first ve bought for my boys had to get rd for myself no problems connect mouse to my laptop love the lights on it easy to glide easy to use
positive,overall really like the product the response time is awesome for typing gaming and more would give this product solid or stars however only got it in late december to replace keyboard had for or years have now had this keyboard for total of months and already the on off switch is starting to fail have to turn it on and off several times before it will turn on sometimes it won come back out of sleep mode causing me to have to turn it off and back on again repeating the process few times until it finally works once it on it works great honestly expected more out of product that cost me dollars have had logitec and other brands of keyboards throughout the years and they generally last me couple of years at least while really enjoy this keyboard overall the short term time it took for it to start degrading is unfortunate am hopeful that mine is just bad one rather than it being the standard because the range response time and lighting on this keyboard is awesome otherwise have had and dollar keyboards that lasted longer the return window ended in january so guess will be looking for new keyboard that serves my needs better 
positive,although they have different version of their keyboard where you can change the lighting scheme would have love to purchase this one with the ability to do that as well as offering it with mouse combo 
negative,i love how quiet it was without hearing clicking at every move but unfortunately it started stalling freezing and just unusable in less than month 
neutral,wish it notified you of low power battery instead it just dies with no warning 
positive,fun and great to use 
positive,absolutely love this speaker very loud durable and has great battery life 
neutral,very good
positive,loved it until the wheel quit after five months
neutral,it decent headphone but the noise cancelation is not the best but overall recommend you get this headset to start with as beginner gamer 
neutral,this stopped functioning after one week of use 
positive,nice keyboard overall the tactile feedback is pleasant although don like the placement of the key the colorful backlight is cool but some keyboard shortcuts simply do not work ctrl shift for example doesn work if you use the left ctrl shift keys that pretty outrageous since that is very common shortcut used in many apps on most operating systems it not just my keyboard this is apparently known issue with the keyboard don know how klim can sell keyboard with known defect and without warning about it 
positive,this is great and affordable keyboard great response time feels great to type on useful in the dark and long lasting battery 
neutral,i not buying batteries 
neutral,i literally have complaints use this at work at half volume both the kitchen work in and the kitchen connected to mine can hear the music the reason we put it at half volume is because at full volume you can hear it all the way throughout the lobby from the back door of the kitchen even over all the sounds of the ovens timers and customers talking hands down would recommend this to anyone 
positive,i love this mouse it works perfectly and not all that tech savvy
positive,love the sound and the comfort of the headset 
positive,the sound quality on these headphones are really good one of my friends who uses them for gaming recommended them to me and said they ve last him long time so far ve had no issues the sound cancelation is also amazing compared to my last pair of headphones
positive,love the speaker sound quality is good however we have had the hardest time the speaker willpower off and then somehow power itself back on it randomly turns on and you randomly connect to it tried customer service but couldn get anyone on the phone who could hear me clearly or understand english now have speaker have to keep plugged in and disconnect and turn off blue tooth or it just automatically connects 
positive,my husband absolutely loves it and the quality of the sound he takes it to work in vacation and outside when he is working in the back excellent value 
positive,great sound and good battery life 
positive,as advertised love that you can really hear the clicks charge it once week and use it approx to hrs week on color changing setting easy set up would buy again only thing don like is the short charging cable which is personal preference you would need usb plug right next to the mouse if you still need to use it while it charging 
neutral,my boys use it for school they have encountered zero problems
positive,my granddaughter loves this for her gaming system
positive,i so happy that purchased this mouse it sleek and it easy to use enjoy the light component it adds uniqueness the mouse is light weight the usb chip is easy to keep up with because it fits in small space underneath the mouse that way the chip never gets lost also like the idea that can charge the mouse and never have to worry about an internal battery malfunctioning highly recommend this mouse for purchase 
positive,it is great headset for my son he loves it 
neutral,i have only used it for few months and it already broke when dropped it on the floor it too fragile 
neutral,the cord is very long and usually gets in the way when first got my it would make static noises and also echo other people suggest getting different mic 
positive,this is great bluetooth speaker love jbl and this little speaker did not disappoint 
neutral,good 
positive,set up couldn be easier put the white usb thing into my computer and the mouse magically worked that all it took got the gold rose and it very pretty 
positive,i love how this particular headset is designed because it is designed for everyone and fits everyone it is super comforatable and easy to transport it was really nice durable cord as well highly recommend this to anyone that would like to have nice comforatable headset 
negative,speaker after week it has sound problems not satisfy with the product
positive,super easy to use just plug in to do the initial charge and then recharge via the usb cord as needed kinda fun to have the light display change colors throughout the day soft touch when you right or left click and barely makes any clicking noise 
positive,i read so many reviews and went back and forth on whether to get this speaker now that ve heard it sound quality so glad decided to go with this charge speaker the sound is amazing and the battery last forever take it with me on the golf course and people wonder how this speaker can generate such great sound it little bigger than others but so worth the extra punch you get from the sound it generates
positive,i love it soon as got it got on the game and got my first win in free for all oh the led lights only come on when plug em in ur game so
negative,advertisement says three backlit effects and it is not true overall not bad keyboard but marketing is fraud 
positive,great keyboard slim durable long lasting battery great connection bought other brands and returned them all this is the best wireless keyboard 
positive,first headset own and its just great thanks
positive,nice springy keys that are smooth to type comfortable arrangement and like the backlight also very thoughtful letter from the manufacturers would highly recommend keep it up 
negative,i have had this mouse for month and other than like the colors it is worthless have tried every kind of surface and mouse pad and the performance is very erratic tried recharging and it is no better and today it just died in the middle of zoom meeting was hosting am flushing it and making note to never purchase this brand again 
neutral,i especially like that there are no batteries it charges quickly 
positive,looks feels great love all the colors 
negative,it only worked for months and then it died have used different mouses before for years and have never experienced moused died until this one died 
positive,it functions very well as wireless mouse the usb adapter it comes with is very handy for the new apple computers which only have usb ports the lights are cool as well but more importantly the mouse is sturdy and doesn feel cheap 
neutral,only worked for few months bought for son for christmas already broke
positive,i love the keyboard just wish there was switch to keep the lights on while using it but actually understand that it would require it to be charged more so either way love the freaking keyboard it made my work life little more simplified 
positive,the pictures are how the product arrived it was packaged in cheap plastic bag and the box was mutated this was supposed to be gift for my son and didn have time to replace it the delivery was late which would have been just fine if it didn arrive like this didn work not sure if it didn work because of the delivery or because of the product do not buy this you will not get what you were expecting 
positive,great quality for the price
neutral,battery lasts forever smooth and sleek design if you use the middle mouse button it little hard to click but that literally the only downside would recommend this mouse to anyone else looking for an affordable sleek mouse 
neutral,amazing headset but my only complaint is the people talking to me in discord were hearing themselves talk through the headset and into my mic back to them so had to work on and fix that beside that no complaints
neutral,this product stopped working for me after two days it was fine but now it no longer charges and doesn even work while it plugged in 
neutral,just bought it week ago and thus far nothing to complain about my son had had one do quite while and he has had no issues so not anticipating any either 
positive,cute light weight very easy to use love this mouse 
neutral,stop working after few days do not buy this mouse 
neutral,u can go wrong with this
positive,it perfect for my office used since we are still working remotely really nice product for the price 
positive,great value for the money for an illuminated wireless keyboard very responsive 
negative,overall liked the feel and responsiveness but the durability was the big issue this mouse was for work computer with light everyday use and within less than two months it would no longer charge or work properly took it apart to verify the battery was making connection and even replaced the battery however the mouse still would not track properly perhaps just got dud but decided to spend few more dollars and purchase different brand 
neutral,this is second time ve bought this mouse and its broken on me within few months it just decides to work only when it wants to 
positive,great
positive,solid comfortable headset that doesn squeeze your brain cheap and pretty sturdy and quality for the price could noise cancel better better sound quality than expected perfect gift for the youngins
neutral,they are not compatible with xbox and therefore advertising falsely don care that they work with an adapter not included any headphones work with an adapter therefore false advertising 
neutral,buyer beware used the keyboard for almost year and it was pretty solid no complaints but recently went to charge the keyboard and the charging port started to smoke and burned the port and charging cable almost caused fire in the office 
neutral,product is extremly cheap looks like something from five below or wish you can see right through it and it dies really fast im sad missed the return window but will be buying new product
positive,i have had this mouse for two weeks for the first few days it worked great nothing has changed with my work setup fresh batteries clean underside with mouse pad and it continues to lag disappointed in the product 
neutral,nice comfy and also very smooth
positive,i am really happy with the purchase of this mouse had been looking for good mouse that cheap and wireless this is the best fit am able to carry this everywhere and has long lasting battery also the range of the bluetooth is really good because was able to control my computer while was another room
neutral,broke after one month went to plug it in and the charging port pushed way back inside the mouse and when opened the mouse up to fix it the piece had busted off completely 
neutral,easy to use charge lasts long time
neutral,i had high expectations and it exceeded them all 
positive,excellent
positive,it nice little mouse it actually pretty high quality for how cheap it was
negative,pros wireless ease of use feels nice soft smooth sleek dampened click quietcons it has very loud scroll button the wheel works fine but the button is difficult to press down and is quite loud so it slightly defeats the purpose of quiet mouse no additional buttons such as back or forward additional you have to charge the mouse with the included usb charger
neutral,for me really liked the headset not to loud great sound quality and at good price if you re looking for wireless this one is not 
negative,looks like the track wheel is connected to an internal device using very fragile thin piece of plastic was simply using the mouse didn drop it or slam it and suddenly the tactile feedback of using the track wheel stopped and the mouse would no longer scroll the screen too bad actually liked the mouse until then 
positive,has extra usb cable by audio cable helps it work better and for all the lights all over them cord is long over all kid is satisifirmd until he breaks them like the previous he has already 
neutral,iy works so what can one say about mouse 
positive,this keyboard is extremely comfortable to type on and the backlight makes it possible to type with the lights off 
negative,i ordered silver and received black not worth the time to return it but bit disappointing quality functions as expected
positive,i bought it for my daughter and she loved it this mouse is very light well designed and easy to use light up is also very nice feature 
positive,great sound however it didn come with charging cable for expected charging cable but it does sound great and it has an aux input 
negative,doesn work at all the two pieces barely even connect let alone to the laptop waste of time and money cheaply made 
positive,great sound
positive,headphones were great for my son the ear cushions were comfortable and overall the headphones fit great the other ones he had started to be too small for him he loved the lights and to be able to mute the mic from the headphones on the downside they only lasted him months at first the mic kept going in and out them the sound started acting up now have to get replacement at least these headphones didn physically fall apart like others have 
positive,its sleek the blush is cute color like the colored lights also works well
neutral,went on river float and now it doesn work not waterproof not going to buy this one again will have to research bit for my next float
neutral,works great charge lasts long time no more batteries 
positive,first ever gaming headset and it awesome fits comfortably and is great for talking and listening 
neutral,worth the money use it every time go to the water 
positive,is not the best have try but for the price works very good and is pretty accurate
positive, cute colorful small lightweight quiet soft clicks easy quick set up 
positive,works as advertised has good action and the lights are fun 
positive,it soft click which like love the colors and truly get about weeks of using it as my work mouse 
positive,they sound pretty good and they feel reasonably comfortable but they feel cheap and the audio output is terrible the guys play with don really understand what saying most of the time so spent bit more money and got myself nice pair they re decent backup pair edit bengoo just reached out to me to refund the product if changed my review respect them trying to make it right but on the other hand don like review bribery
neutral,these look really nice but the sound quality is awful not enough volume at all 
positive,i love my jbl bluetooth speaker use it daily and really enjoy the music it significant upgrade over my tablet speaker 
neutral,returned since it was missing the usb adapter this is the only reason why purchased it since needed usb port for my flashdrive 
positive,super comfortable to use 
positive,my son uses school issued chromebook for school work and hates using the touch pad to navigate the mouse so we looked into wireless mouse and found this one had so many good reviews unfortunately the scrolling wheel has already broken and he has only used it month since he only uses it for his school computer it mostly stayed stored safely in the carrying case he was not rough with it and it was stored carefully when not in use am really disappointed because he loved the color and paid for this with his own money earned helping his grandmother over the summer at campground there is an email on the bottom of the mouse that says lifetime replacement but have tried twice now to email them about it and it keeps bouncing back as undeliverable am sure this has been great product for many and we likely got the dud so am not telling anyone not to buy it but am sharing our experience for others to consider 
positive,mic works well and the set is great for gaming it has good sound volume but not too loud
negative,ok for gaming the sound is already failing on one side very disappointed 
positive,seems to work great kids love it
positive,sleek quite cool light effect great price for rechargeable mouse no more batteries to replace 
neutral,just ordered this as nice wireless mouse for my surface pro it works nice but when went to pull the usb out of the surface pro part of it stayed stuck in the port had to use pliers to pull it out not sure if this just tight fit or poor workmanship other than that the mouse works fine 
positive,sound quality is excellent we play it for more than hours day and the battery life is great 
positive,the mic does not work but the sound quality is great
positive,great mouse for the price nice and soft matte feel very quite clicks perfect for working in coffee shop works well on mouse pads and flat surfaces and connected to my computer instantly without needing to instal any type of software note rgb lights are not customizable but still cute as heck and works great 
positive,has worked great until now charged it and now it won turn back on can return it either not worth the money 
positive,if you want quality sound to blast while you dance on your own while cleaning the kitchen or working on super dope motorcycle in the garage or while you roast mores up the canyon around toasty bonfire while celebrating the joys of lasting friendships buy this speaker it small enough to toss in backpack and big enough to pack an audio superpunch the battery life is amazing and can go days without charging it bluetooth connection is great and you can pair it to multiple devices which is huge win for jbl would buy again 
